Location	Distance_from_Porto_Alegre	Distance_from_Winthrop_Ave	Distance_from_Cedar_St	Distance_from_Visionary_Way	Distance_from_Mass_Ave	Distance_from_Meridian_St
Bru Burger	2.2	4.6	18.1	20.7	0.2	5.1
Gomez Barbeque	5.7	4.7	20.6	19	2.7	8.3
India Garden	2.1	5	18.1	21.1	0.3	5.1
Fresco	1.8	5	17.6	21.3	0.8	5.5
Bakersfield	2	4.6	18.1	20.8	0.1	5.3
Salt on Mass	2.4	4.4	18.1	20.6	0.3	5.6
Goodfellas	2.4	4.4	18.1	20.7	0.3	5.6
Modita	2.8	3.9	18.1	15.7	1.1	6.2
Bangkok	2.1	4.8	18.2	21	0.2	5.1
Saffron Cafe	2.4	4.4	17.9	16.1	0.5	5.6
Indy 500	3.5	8.3	13.8	19.7	5	13.6
One Team Scavengar Hunt indianapolis	1.7	5.4	17.7	21.4	0.7	5.1
The LUME	5	2.9	13.6	15	5	19.1
Escape Room Indy	2.1	5	18.1	21.4	0.6	5
Indianapolis Zoo	1.8	7.6	19.4	23.5	3.2	7.6
Business Networking 1 day training	21.3	6.8	11.5	7.2	19.8	24.8
